Title,Director,Cast,Genre,comb
aa okkati adakku,E. V. V. Satyanarayana,"Rajendra Prasad, Rambha, Rao Gopal Rao",unknown,"E. V. V. Satyanarayana Rajendra Prasad, Rambha, Rao Gopal Rao unknown"
pelli neeku sukham naaku,P. N. Ramchandra Rao,"Naresh, Divya Vani, Brahmanandam",unknown,"P. N. Ramchandra Rao Naresh, Divya Vani, Brahmanandam unknown"
pellaniki premalekha priyuraliki subhalekha,Relangi Narasimha Rao,"Rajendra Prasad, Nandini, Babu Mohan, Brahmanandam",unknown,"Relangi Narasimha Rao Rajendra Prasad, Nandini, Babu Mohan, Brahmanandam unknown"
pellante noorella panta,Muthyala Subbaiah,"S. P. Balasubrahmanyam, Srinivasa Varma, Aishwarya,  Brahmanandam",unknown,"Muthyala Subbaiah S. P. Balasubrahmanyam, Srinivasa Varma, Aishwarya,  Brahmanandam unknown"
pellam chebithe vinali,Kodi Ramakrishna,"Harish Kumar, Meena, Meka Srikanth",unknown,"Kodi Ramakrishna Harish Kumar, Meena, Meka Srikanth unknown"
pellam chatu mogudu,Relangi Narasimha Rao,"Dasari Narayana Rao, Vani Viswanath",unknown,"Relangi Narasimha Rao Dasari Narayana Rao, Vani Viswanath unknown"
peddarikam,A. M. Rathnam,"Jagapati Babu, Sukanya, Bhanumathi Ramakrishna",unknown,"A. M. Rathnam Jagapati Babu, Sukanya, Bhanumathi Ramakrishna unknown"
pattudala,G. B. Shekar,"Suman, Aishwarya",unknown,"G. B. Shekar Suman, Aishwarya unknown"
parvatalu panakalu,Muthyala Subbaiah,"S. P. Balasubrahmanyam, Baby Shamili, Dasari Narayana Rao, Giribabu",unknown,"Muthyala Subbaiah S. P. Balasubrahmanyam, Baby Shamili, Dasari Narayana Rao, Giribabu unknown"
nani,Krishna Mohan Reddy,"Charanraj, Baby Shamili, Seetha",unknown,"Krishna Mohan Reddy Charanraj, Baby Shamili, Seetha unknown"
naga kanya,Chola Rajan,"Suresh, Nirosha",unknown,"Chola Rajan Suresh, Nirosha unknown"
moratodu naa mogudu,A. Kodandarami Reddy,"Rajasekhar, Meena",unknown,"A. Kodandarami Reddy Rajasekhar, Meena unknown"
 mogudu pellala dongata,Relangi Narasimha Rao,"Naresh, Divya Vani",unknown,"Relangi Narasimha Rao Naresh, Divya Vani unknown"
mother india,T. V. Ramana Reddy,"Jagapathi Babu, Sharada",unknown,"T. V. Ramana Reddy Jagapathi Babu, Sharada unknown"
madhavayya gari manavadu,Muthyala Subbaiah,"Harish Kumar, ANR, Meena, Nandini",unknown,"Muthyala Subbaiah Harish Kumar, ANR, Meena, Nandini unknown"
lathi,Gunasekhar,Prashanth Thiagarajan,unknown,Gunasekhar Prashanth Thiagarajan unknown
killer,Fazil,"Akkineni Nagarjuna, Nagma, Sharada",unknown,"Fazil Akkineni Nagarjuna, Nagma, Sharada unknown"
kala rathrilo kanne pilla,Raj Kamal,"Sharath, Abhilasha, Kota Srinivasa Rao",unknown,"Raj Kamal Sharath, Abhilasha, Kota Srinivasa Rao unknown"
police brothers,Mohan Gandhi,"Vinod Kumar, Roja, Charan Raj",unknown,"Mohan Gandhi Vinod Kumar, Roja, Charan Raj unknown"
joker mama super alludu,K. Vasu,"Brahmanandam, Jeeva, Chandra Mohan, Poojitha",unknown,"K. Vasu Brahmanandam, Jeeva, Chandra Mohan, Poojitha unknown"
pranadaata,Mohan Gandhi,"Akkineni Nageswara Rao, Lakshmi, Allu Ramalingaiah, Girish Karnad",unknown,"Mohan Gandhi Akkineni Nageswara Rao, Lakshmi, Allu Ramalingaiah, Girish Karnad unknown"
prema shikharam,Satya Gopla Ram,"Prashanth, Mamta Kulkarni, Arun Pandiyan",unknown,"Satya Gopla Ram Prashanth, Mamta Kulkarni, Arun Pandiyan unknown"
yagnam,Gutha Ramineedu,"P. L. Narayana, Bhanu  Chander",unknown,"Gutha Ramineedu P. L. Narayana, Bhanu  Chander unknown"
valu jada tolu beltu,Vijaya Bapineedu,"Rajendra Prasad, Kanaka",unknown,"Vijaya Bapineedu Rajendra Prasad, Kanaka unknown"
teja,N. Hari Babu,"Master Tarun, Ranga Rao, Srinivasa Varma",unknown,"N. Hari Babu Master Tarun, Ranga Rao, Srinivasa Varma unknown"
swati kiranam,K. Vishwanath,"Mammootty, Raadhika, Master Manjunath",unknown,"K. Vishwanath Mammootty, Raadhika, Master Manjunath unknown"
sundarakanda,K. Raghavendra Rao,"Daggubati Venkatesh, Meena Durairaj, Aparna",unknown,"K. Raghavendra Rao Daggubati Venkatesh, Meena Durairaj, Aparna unknown"
subba rayudi pelli,Dasari Narayana Rao,"Rajendra Prasad, Aishwarya",unknown,"Dasari Narayana Rao Rajendra Prasad, Aishwarya unknown"
seetharatnam gari abbayi,E. V. V. Satyanarayana,"Vanisri, Vinod Kumar, Roja",unknown,"E. V. V. Satyanarayana Vanisri, Vinod Kumar, Roja unknown"
seetapathi chalo tirupathi,Vijaya Bapineedu,"Rajendra Prasad, Vani Viswanath, Aishwarya",unknown,"Vijaya Bapineedu Rajendra Prasad, Vani Viswanath, Aishwarya unknown"
samrat ashoka,NTR,"NTR, Vani Viswanath",unknown,"NTR NTR, Vani Viswanath unknown"
sahasam,Suresh Krissna,"Jagapathi Babu, Bhanu Chander",unknown,"Suresh Krissna Jagapathi Babu, Bhanu Chander unknown"
rowdy inspector,B. Gopal,"Balakrishna Nandamuri, Vijayashanti, Brahmanandam",unknown,"B. Gopal Balakrishna Nandamuri, Vijayashanti, Brahmanandam unknown"
rakta tarpanam,Krishna Ghattamaneni,"Krishna, Varsha Usgaonkar",unknown,"Krishna Ghattamaneni Krishna, Varsha Usgaonkar unknown"
raguluthunna bharatham,Allani Sridhar,"ANR, Jagapathi Babu, Divyavani",unknown,"Allani Sridhar ANR, Jagapathi Babu, Divyavani unknown"
public rowdy,Sagar,"Bhanuchander, Heera Rajagopal, Lakshmi, Brahmanandam",unknown,"Sagar Bhanuchander, Heera Rajagopal, Lakshmi, Brahmanandam unknown"
priyathama,Geetha Krishna,"Raghu, Nirosha",unknown,"Geetha Krishna Raghu, Nirosha unknown"
president gari pellam,A. Kodandarami Reddy,"Akkineni Nagarjuna, Meena, Meka Srikanth, Brahmanandam",unknown,"A. Kodandarami Reddy Akkineni Nagarjuna, Meena, Meka Srikanth, Brahmanandam unknown"
prema vijeta,K. Sadasiva Rao,"Suresh, Harish Kumar, Roja, Yamuna",unknown,"K. Sadasiva Rao Suresh, Harish Kumar, Roja, Yamuna unknown"
prema drohi,Kondaveeti Satyam,Brahmanandam,unknown,Kondaveeti Satyam Brahmanandam unknown
jaganaddam and sons,Anil Kumar,"Suresh, Sindhuja",unknown,"Anil Kumar Suresh, Sindhuja unknown"
naga bala,Rama Narayanan,Baby Shamili,unknown,Rama Narayanan Baby Shamili unknown
golmaal govindam,Tatineni Rama Rao,"Rajendra Prasad, Anusha, Subhalekha Sudhakar, Giribabu",unknown,"Tatineni Rama Rao Rajendra Prasad, Anusha, Subhalekha Sudhakar, Giribabu unknown"
babai hotel,Jandhyala Subramanya Sastry,"Brahmanandam, Kinnera, Gundu Hanumantha Rao, Suthivelu",unknown,"Jandhyala Subramanya Sastry Brahmanandam, Kinnera, Gundu Hanumantha Rao, Suthivelu unknown"
ayyayyo brahamayya,Akella,"Naresh, Nandini, Brahmanandam",unknown,"Akella Naresh, Nandini, Brahmanandam unknown"
atta sommu alludu danam,Y. Nageswara Rao,"Vinod Kumar, Roja",unknown,"Y. Nageswara Rao Vinod Kumar, Roja unknown"
aswamedham,K. Raghavendra Rao,"Balakrishna Nandamuri, Shoban Babu, Meena, Nagma",unknown,"K. Raghavendra Rao Balakrishna Nandamuri, Shoban Babu, Meena, Nagma unknown"
asadhyulu,Joemon,"Jagapathi Babu, Suresh, Shobana, Nirosha",unknown,"Joemon Jagapathi Babu, Suresh, Shobana, Nirosha unknown"
appula appa rao,E. V. V. Satyanarayana,"Rajendra Prasad, Shobhana, Brahmanandam, Babu Mohan",unknown,"E. V. V. Satyanarayana Rajendra Prasad, Shobhana, Brahmanandam, Babu Mohan unknown"
antham,Ram Gopal Varma,"Nagarjuna Akkineni, Urmila Matondkar, Danny Denzongpa",unknown,"Ram Gopal Varma Nagarjuna Akkineni, Urmila Matondkar, Danny Denzongpa unknown"
gowramma,Rama Narayanan,"Nizhalgal Ravi, Yamuna, Divya Vani",unknown,"Rama Narayanan Nizhalgal Ravi, Yamuna, Divya Vani unknown"
allari pilla,Kodi Ramakrishna,"Suresh, Meena, Satyanarayana",unknown,"Kodi Ramakrishna Suresh, Meena, Satyanarayana unknown"
allari mogudu,K. Raghavendra Rao,"Mohan Babu, Meena, Ramya Krishna",unknown,"K. Raghavendra Rao Mohan Babu, Meena, Ramya Krishna unknown"
alexander,K. Ranga Rao,"Suman, Vani Viswanath, Kota Srinivasa Rao",unknown,"K. Ranga Rao Suman, Vani Viswanath, Kota Srinivasa Rao unknown"
akka mogudu,Kranthi Kumar,"Rajasekhar, Suhasini, Brahmanandam",unknown,"Kranthi Kumar Rajasekhar, Suhasini, Brahmanandam unknown"
ahankari,Dasari Narayana Rao,"Rajasekhar, Shobhana, Aishwarya, Brahmanandam",unknown,"Dasari Narayana Rao Rajasekhar, Shobhana, Aishwarya, Brahmanandam unknown"
agreement,Manivannan,"Nagendra Babu, Anusha, Sarath Babu",unknown,"Manivannan Nagendra Babu, Anusha, Sarath Babu unknown"
adrushtam,Mouli,"Naresh, Yamuna",unknown,"Mouli Naresh, Yamuna unknown"
adharsham,Mouli,"Jagapathi Babu, Yamuna, Ashwini Nachappa, Hema",unknown,"Mouli Jagapathi Babu, Yamuna, Ashwini Nachappa, Hema unknown"
aapadbandhavudu,K. Vishwanath,"Chiranjeevi, Meenakshi Sheshadri, Jandhyala Subramanya Sastry",unknown,"K. Vishwanath Chiranjeevi, Meenakshi Sheshadri, Jandhyala Subramanya Sastry unknown"
balarama krishnulu,Ravi Raja Pinisetty,"Shoban Babu, Jagapathi Babu, Rajasekhar, Ramya Krishna, Rajeevi",unknown,"Ravi Raja Pinisetty Shoban Babu, Jagapathi Babu, Rajasekhar, Ramya Krishna, Rajeevi unknown"
bangaru mama,unknown,"Vinod Kumar, Meena, Yamuna",unknown,"unknown Vinod Kumar, Meena, Yamuna unknown"
ankuram,Uma Maheshwara Rao,"Sarath Babu, Revathi, Om Puri, Balaiah",unknown,"Uma Maheshwara Rao Sarath Babu, Revathi, Om Puri, Balaiah unknown"
bhale khaideelu,unknown,"Nirosha, Jeeva, Kaikala Satyanarayana",unknown,"unknown Nirosha, Jeeva, Kaikala Satyanarayana unknown"
bhadram koduko,Akkineni Kutumba Rao,"Santhosh Reddy, Laya",unknown,"Akkineni Kutumba Rao Santhosh Reddy, Laya unknown"
gharana mogudu,K. Raghavendra Rao,"Chiranjeevi, Nagma, Rao Gopal Rao",unknown,"K. Raghavendra Rao Chiranjeevi, Nagma, Rao Gopal Rao unknown"
gang war,Kodi Ramakrishna,"Vinod Kumar, Ashok Kumar, Brahmanandam, Giribabu",unknown,"Kodi Ramakrishna Vinod Kumar, Ashok Kumar, Brahmanandam, Giribabu unknown"
doshi,VBLV Prasad,"Ramki, S. P. Balasubrahmanyam, Lakshmi",unknown,"VBLV Prasad Ramki, S. P. Balasubrahmanyam, Lakshmi unknown"
donga police,K. S. Prakash Rao,"Mohan Babu, Mamta Kulkarni, Brahmanandam",unknown,"K. S. Prakash Rao Mohan Babu, Mamta Kulkarni, Brahmanandam unknown"
dharma kshetram,Kodandarami Reddy,"Balakrishna Nandamuri, Divya Bharati",unknown,"Kodandarami Reddy Balakrishna Nandamuri, Divya Bharati unknown"
dabbu bhale jabbu,K. Rajendra,"Raj Kumar, Sumalatha, Allu Ramalingaiah",unknown,"K. Rajendra Raj Kumar, Sumalatha, Allu Ramalingaiah unknown"
college bullodu,Sarath,"Akkineni Nageswara Rao, Hareesh, Yamuna, Lakshmi",unknown,"Sarath Akkineni Nageswara Rao, Hareesh, Yamuna, Lakshmi unknown"
doctor ambedkar,unknown,unknown,unknown,unknown unknown unknown
chittemma mogudu,A. Kodandarami Reddy,"Mohan Babu, Divya Bharti, Pooja Bedi",unknown,"A. Kodandarami Reddy Mohan Babu, Divya Bharti, Pooja Bedi unknown"
chitram bhalare vichitram,P N Ramachandra Rao,"Naresh, Rajeevi, Brahmanandam, Subhalekha Sudhakar",unknown,"P N Ramachandra Rao Naresh, Rajeevi, Brahmanandam, Subhalekha Sudhakar unknown"
chinarayudu,B. Gopal,"Daggubati Venkatesh, Vijayashanti, Kota Srinivasa Rao",unknown,"B. Gopal Daggubati Venkatesh, Vijayashanti, Kota Srinivasa Rao unknown"
chillara mogudu allari koduku,Relangi Narasimha Rao,"Chandra Mohan, Babu Mohan, Jayasudha",unknown,"Relangi Narasimha Rao Chandra Mohan, Babu Mohan, Jayasudha unknown"
chanti,Ravi Raja Pinisetty,"Daggubati Venkatesh, Meena, Nassar, Sujatha",unknown,"Ravi Raja Pinisetty Daggubati Venkatesh, Meena, Nassar, Sujatha unknown"
champion,Y. Nageswara Rao,Vinod Kumar,unknown,Y. Nageswara Rao Vinod Kumar unknown
chakravyuham,Balu Mahendra,"Suman, Archana, Gautami",unknown,"Balu Mahendra Suman, Archana, Gautami unknown"
collectorgari alludu,Sarath,"Suman, Vani Viswanath",unknown,"Sarath Suman, Vani Viswanath unknown"
brundavanam,Singeetam Srinivasa Rao,"Rajendra Prasad, Ramya Krishna, Anjali Devi, Kaikala Satyanarayana",unknown,"Singeetam Srinivasa Rao Rajendra Prasad, Ramya Krishna, Anjali Devi, Kaikala Satyanarayana unknown"
mayalodu,S. V. Krishna Reddy,"Rajendra Prasad, Soundarya",unknown,"S. V. Krishna Reddy Rajendra Prasad, Soundarya unknown"
parugo parugu,Relangi Narasimha Rao,"Rajendra Prasad, Shruti",unknown,"Relangi Narasimha Rao Rajendra Prasad, Shruti unknown"
one by two,Shiva Nageswara Rao,"Meka Srikanth, J. J. Chakravarthy",unknown,"Shiva Nageswara Rao Meka Srikanth, J. J. Chakravarthy unknown"
nippu ravva,A. Kodandarami Reddy,"Balakrishna Nandamuri, Vijayashanti, Shobana",unknown,"A. Kodandarami Reddy Balakrishna Nandamuri, Vijayashanti, Shobana unknown"
mechanic alludu,B. Gopal,"Chiranjeevi, Akkineni Nageswara Rao, Vijayashanti",unknown,"B. Gopal Chiranjeevi, Akkineni Nageswara Rao, Vijayashanti unknown"
mister pellam,Bapu,"Rajendra Prasad, Aamani",unknown,"Bapu Rajendra Prasad, Aamani unknown"
money,Shiva Nageswara Rao,"J. D. Chakravarthy, Chinna, Renuka Shahane, Jayasudha, Paresh Rawal",unknown,"Shiva Nageswara Rao J. D. Chakravarthy, Chinna, Renuka Shahane, Jayasudha, Paresh Rawal unknown"
paruvu pratishta,V. C. Guhanathan,"Suman, Suresh, Malasri, Lakshmi, Srividya, Raj Kumar, Srinath",unknown,"V. C. Guhanathan Suman, Suresh, Malasri, Lakshmi, Srividya, Raj Kumar, Srinath unknown"
