Year,Month,Title,Director,Cast,Genre
1992,,Aa Okkati Adakku,E. V. V. Satyanarayana,"Rajendra Prasad, Rambha, Rao Gopal Rao",
1992,,Pelli Neeku Sukham Naaku,P. N. Ramchandra Rao,"Naresh, Divya Vani, Brahmanandam",
1992,,Pellaniki Premalekha Priyuraliki Subhalekha,Relangi Narasimha Rao,"Rajendra Prasad, Nandini, Babu Mohan, Brahmanandam",
1992,,Pellante Noorella Panta,Muthyala Subbaiah,"S. P. Balasubrahmanyam, Srinivasa Varma, Aishwarya,  Brahmanandam",
1992,,Pellam Chebithe Vinali,Kodi Ramakrishna,"Harish Kumar, Meena, Meka Srikanth",
1992,,Pellam Chatu Mogudu,Relangi Narasimha Rao,"Dasari Narayana Rao, Vani Viswanath",
1992,,Peddarikam,A. M. Rathnam,"Jagapati Babu, Sukanya, Bhanumathi Ramakrishna",
1992,,Pattudala,G. B. Shekar,"Suman, Aishwarya",
1992,,Parvatalu Panakalu,Muthyala Subbaiah,"S. P. Balasubrahmanyam, Baby Shamili, Dasari Narayana Rao, Giribabu",
1992,,Nani,Krishna Mohan Reddy,"Charanraj, Baby Shamili, Seetha",
1992,,Naga Kanya,Chola Rajan,"Suresh, Nirosha",
1992,,Moratodu Naa Mogudu,A. Kodandarami Reddy,"Rajasekhar, Meena",
1992,, Mogudu Pellala Dongata,Relangi Narasimha Rao,"Naresh, Divya Vani",
1992,,Mother India,T. V. Ramana Reddy,"Jagapathi Babu, Sharada",
1992,,Madhavayya Gari Manavadu,Muthyala Subbaiah,"Harish Kumar, ANR, Meena, Nandini",
1992,,Lathi,Gunasekhar,Prashanth Thiagarajan,
1992,,Killer,Fazil,"Akkineni Nagarjuna, Nagma, Sharada",
1992,,Kala Rathrilo Kanne Pilla,Raj Kamal,"Sharath, Abhilasha, Kota Srinivasa Rao",
1992,,Police Brothers,Mohan Gandhi,"Vinod Kumar, Roja, Charan Raj",
1992,,Joker Mama Super Alludu,K. Vasu,"Brahmanandam, Jeeva, Chandra Mohan, Poojitha",
1992,,Pranadaata,Mohan Gandhi,"Akkineni Nageswara Rao, Lakshmi, Allu Ramalingaiah, Girish Karnad",
1992,,Prema Shikharam,Satya Gopla Ram,"Prashanth, Mamta Kulkarni, Arun Pandiyan",
1992,,Yagnam,Gutha Ramineedu,"P. L. Narayana, Bhanu  Chander",
1992,,Valu Jada Tolu Beltu,Vijaya Bapineedu,"Rajendra Prasad, Kanaka",
1992,,Teja,N. Hari Babu,"Master Tarun, Ranga Rao, Srinivasa Varma",
1992,,Swati Kiranam,K. Vishwanath,"Mammootty, Raadhika, Master Manjunath",
1992,,Sundarakanda,K. Raghavendra Rao,"Daggubati Venkatesh, Meena Durairaj, Aparna",
1992,,Subba Rayudi Pelli,Dasari Narayana Rao,"Rajendra Prasad, Aishwarya",
1992,,Seetharatnam Gari Abbayi,E. V. V. Satyanarayana,"Vanisri, Vinod Kumar, Roja",
1992,,Seetapathi Chalo Tirupathi,Vijaya Bapineedu,"Rajendra Prasad, Vani Viswanath, Aishwarya",
1992,,Samrat Ashoka,NTR,"NTR, Vani Viswanath",
1992,,Sahasam,Suresh Krissna,"Jagapathi Babu, Bhanu Chander",
1992,,Rowdy Inspector,B. Gopal,"Balakrishna Nandamuri, Vijayashanti, Brahmanandam",
1992,,Rakta Tarpanam,Krishna Ghattamaneni,"Krishna, Varsha Usgaonkar",
1992,,Raguluthunna Bharatham,Allani Sridhar,"ANR, Jagapathi Babu, Divyavani",
1992,,Public Rowdy,Sagar,"Bhanuchander, Heera Rajagopal, Lakshmi, Brahmanandam",
1992,,Priyathama,Geetha Krishna,"Raghu, Nirosha",
1992,,President Gari Pellam,A. Kodandarami Reddy,"Akkineni Nagarjuna, Meena, Meka Srikanth, Brahmanandam",
1992,,Prema Vijeta,K. Sadasiva Rao,"Suresh, Harish Kumar, Roja, Yamuna",
1992,,Prema Drohi,Kondaveeti Satyam,Brahmanandam,
1992,,Jaganaddam and Sons,Anil Kumar,"Suresh, Sindhuja",
1992,,Naga Bala,Rama Narayanan,Baby Shamili,
1992,,Golmaal Govindam,Tatineni Rama Rao,"Rajendra Prasad, Anusha, Subhalekha Sudhakar, Giribabu",
1992,,Babai Hotel,Jandhyala Subramanya Sastry,"Brahmanandam, Kinnera, Gundu Hanumantha Rao, Suthivelu",
1992,,Ayyayyo Brahamayya,Akella,"Naresh, Nandini, Brahmanandam",
